Term,Count,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
human,433,0,0.00047794118,0.00037885128,0.00038520803,0.0005684262,0.000542607,0.00030865663,0.00052996253,0.00040351506,0.00033023203,0.00057453534,0.00033942948,0.00033155654,0.00033458244,0.00035825785,0.0004491306,0.00024229773,0.0005002001
actually,432,0.00029205607,0.00036764707,0.0003436093,0.00037353503,0.0004147975,0.00046861512,0.00018994254,0.00025516714,0.00026901005,0.0004020216,0.0006064539,0.00067885895,0.0006758652,0.0006022484,0.00027295836,0.00012832304,9.319143E-05,0.00025010004
right,429,0.00058411213,0.00025735295,0.00050219824,0.0005252836,0.00044552327,0.00041928721,0.00037988508,0.00037293657,0.00044835007,0.00037330575,0.00030854673,0.0003937382,0.00035706087,0.00030781585,0.00044355734,0.00042774345,0.0002982126,0.0005002001
certainly,427,0.0008761682,0.00014705882,0.00042290377,0.0004669188,0.00029189454,0.00044395117,0.00037988508,0.0002944236,0.00041846005,0.00033023203,0.0004149422,0.00044804692,0.00038256522,0.000495182,0.00046061722,0.00023525889,0.0005591486,0.00030012004
body,426,0,0.00044117647,0.00049338775,0.00024513237,0.00044552327,0.00046861512,0.00042737072,0.0003336801,0.00035868006,0.0003876637,0.00051069807,0.0002715436,0.00030605218,0.00030781585,0.00047767712,0.00042774345,0.00063370174,0.00030012004
roles,425,0.00029205607,0.000625,0.0003700408,0.00033851614,0.0005223376,0.00039462326,0.00042737072,0.00031405187,0.00038857007,0.00045945324,0.00047877943,0.0003937382,0.00030605218,0.00032119916,0.00044355734,0.0002994204,0.00033548917,0.0007002801
text,425,0,3.6764704E-05,0.00010572594,0.00060699444,0.000476249,0.00041928721,0.00016619972,0.0003336801,0.00040351506,0.00044509533,0.00043622125,0.0004752013,0.00029330002,0.0006691649,0.00046061722,0.00040635627,0.00022365944,0.0011504602
art,423,0.0011682243,0.00025735295,0.00042290377,0.00053695665,0.0004916119,0.0004932791,0.00037988508,0.0002944236,0.00041846005,0.0003876637,0.00021279085,0.00024438923,0.00048458262,0.00034796575,0.00032413806,0.00023525889,0.0006896166,0.0005502201
plot,422,0.00029205607,0.0006985294,0.0005286297,0.0005603026,0.00033798316,0.00014798372,0.00068854174,0.00037293657,0.00031384506,0.000502527,0.00029790722,0.0003258523,0.00028054783,0.00025428267,0.00030707815,0.00049190497,0.0004100423,0.00030012004
away,421,0.00058411213,0.00044117647,0.00042290377,0.00043189988,0.0006759663,0.0003206314,0.00037988508,0.0002944236,0.00029890003,0.00033023203,0.00025534903,0.00044804692,0.00029330002,0.00038811564,0.00039237764,0.0005988408,0.00037276573,0.0005502201
performers,421,0.00029205607,0.00011029412,0.00059030316,0.00047859177,0.0004147975,0.00039462326,0.00016619972,0.0002355389,0.00025406503,0.0003015162,0.0002447095,0.00024438923,0.00045907826,0.0005487152,0.0005970964,0.00047051779,0.0004473189,0.0005002001
strong,421,0,0.0008088235,0.00029955682,0.00043189988,0.00046088613,0.0003206314,0.00042737072,0.00035330834,0.00040351506,0.00027280036,0.0005000585,0.00033942948,0.0003443087,0.00030781585,0.00042649743,0.00049190497,0.0004286806,0.0005002001
emotional,416,0,0.00029411764,0.00043171426,0.00037353503,0.00030725743,9.8655815E-05,0.00030865663,0.00025516714,0.0004632951,0.00045945324,0.00040430264,0.00044804692,0.00038256522,0.00038811564,0.0005117969,0.00057745364,0.00039140403,0.00030012004
drama,415,0.0008761682,0.00044117647,0.00026431485,0.0004669188,0.00038407178,0.0003699593,0.00011871409,0.00015702593,0.00068747014,0.00047381117,0.0005851749,0.00038016101,0.00048458262,0.00028104926,0.00029001824,0.00034219475,0.00031685087,0.00030012004
example,412,0.00058411213,0.00036764707,0.00020264139,0.0003501891,0.0003687089,0.0003699593,0.00023742818,0.0003336801,0.0005380201,0.0005886745,0.0006064539,0.0005430872,0.00035706087,0.00034796575,0.00034119794,0.00023525889,0.0002795743,0.00035014006
chinese,410,0.00029205607,0.00014705882,0.0003612303,0.0002801513,0.00024580595,0.0004932791,0.00030865663,0.0006673602,0.00050813006,0.0003876637,0.0004468608,0.0002715436,0.00042082174,0.00044164882,0.00025589846,0.00027803323,0.0005777869,0.00045018006
words,410,0.00029205607,0.00040441175,0.0003436093,0.0006420133,0.00030725743,0.0003699593,0.00035614226,0.0004710778,0.00044835007,0.00027280036,0.00036174446,0.0004752013,0.0003443087,0.00041488223,0.00018765886,0.00023525889,0.00037276573,0.0006002401
high,409,0.0008761682,0.00036764707,0.00024669387,0.00040855395,0.0004916119,0.00022197558,0.00037988508,0.00031405187,0.00044835007,0.00044509533,0.00036174446,0.00044804692,0.00025504347,0.00037473234,0.00037531773,0.00042774345,0.0005777869,0.0005502201
narrative,408,0,7.352941E-05,0.00028193585,0.0005252836,0.0003226203,0.000517943,0.000261171,0.00037293657,0.00032879005,0.00047381117,0.00032982582,0.0003937382,0.0004973348,0.0005353319,0.00034119794,0.0001497102,0.0005964252,0.00020008003
original,406,0.00058411213,0.00033088235,0.00041409326,0.00032684318,0.00038407178,0.00029596745,0.00021368536,0.00027479537,0.00029890003,0.00028715827,0.00045750034,0.00020365769,0.00035706087,0.0005219486,0.0007335756,0.00038496908,0.00048459545,0.00040016006
local,405,0.0023364485,0.00058823527,0.0003612303,0.00031517018,0.0004147975,0.00046861512,0.00037988508,7.851297E-05,0.00023912004,0.00035894784,0.00030854673,0.00043446975,0.00033155654,0.00032119916,0.00046061722,0.0005346793,0.0005777869,0.0006002401
members,404,0.00058411213,0.00018382353,0.0003436093,0.00038520803,0.00027653167,0.00017264768,0.00023742818,0.00025516714,0.00019428504,0.0004163795,0.00038302355,0.0005430872,0.00035706087,0.0006959315,0.0005117969,0.00034219475,0.00048459545,0.00035014006
hard,402,0,0.0005147059,0.00022026237,0.00044357288,0.00033798316,0.00041928721,0.00030865663,0.0004318213,0.00020923003,0.00034458993,0.00038302355,0.00040731538,0.00048458262,0.0004684154,0.00040943755,0.00040635627,0.0004473189,0.00035014006
physical,402,0,0.00022058823,0.00022907287,0.00038520803,0.00035334603,0.00034529535,0.00047485635,0.00039256483,0.00029890003,0.00028715827,0.00030854673,0.00036658384,0.00045907826,0.00041488223,0.0006482761,0.00040635627,0.0006150635,0.00035014006
said,402,0,0.00047794118,0.00080175506,0.00043189988,0.0005223376,0.0005672709,0.0004985992,0.00027479537,0.00017934003,0.00021536871,0.00040430264,0.00017650334,0.00036981306,0.00022751607,0.00027295836,8.554869E-05,0.00031685087,0.00040016006
experience,401,0.0014602804,0.00040441175,0.00049338775,0.00037353503,0.00030725743,0.00017264768,0.000522342,0.00027479537,0.00034373507,0.00033023203,0.0004255817,0.00017650334,0.0003953174,0.00034796575,0.00040943755,0.0004491306,0.0004473189,0.00045018006
stories,401,0,0.00025735295,0.0005198192,0.00024513237,0.00033798316,0.00022197558,0.0004985992,0.00072624494,0.00041846005,0.000502527,0.00030854673,0.00023081205,0.00038256522,0.00037473234,0.00040943755,0.00027803323,0.00033548917,0.00015006002
particularly,399,0.00029205607,0.00014705882,0.0001762099,0.00042022692,0.000476249,0.00041928721,0.0004985992,0.00039256483,0.00040351506,0.00035894784,0.0003936631,0.00033942948,0.0005993522,0.00034796575,0.00037531773,0.0003208076,0.000260936,0.0005502201
came,396,0.00029205607,0.00044117647,0.00040528277,0.0005486296,0.00050697476,0.000517943,0.0004036279,0.000490706,0.00043340508,0.00027280036,0.00029790722,0.00036658384,0.00026779567,0.00028104926,0.00035825785,0.00025664608,0.00022365944,0.00020008003
going,395,0,0.00022058823,0.00044052475,0.00042022692,0.0004916119,0.00029596745,0.00037988508,0.00031405187,0.00038857007,0.0004020216,0.00034046537,0.0005159328,0.00035706087,0.00038811564,0.00032413806,0.0002994204,0.000130468,0.00030012004
sound,394,0.0008761682,0.00029411764,0.00029074633,0.000396881,0.0005223376,0.00019731163,0.00075977016,0.00037293657,0.0005828551,0.00018665288,0.00034046537,0.00033942948,0.00035706087,0.00033458244,0.00017059897,0.0005988408,0.000260936,0.00045018006
despite,393,0.00029205607,0.00040441175,0.00042290377,0.00033851614,0.000476249,0.0002713035,0.0004036279,0.00025516714,0.00026901005,0.00043073742,0.00030854673,0.00042089255,0.00035706087,0.00028104926,0.00032413806,0.00038496908,0.00054051034,0.00045018006
used,393,0.00058411213,0.00018382353,0.00041409326,0.00049026473,0.00019971732,0.000542607,0.000261171,0.000490706,0.0004632951,0.0005168849,0.000372384,0.00033942948,0.00028054783,0.00024089936,0.00029001824,0.00040635627,0.0002982126,0.00035014006
singaporean,392,0,0.00014705882,0.00033479882,0.00026847832,0.00021508019,0.0002713035,0.00021368536,0.0005888472,0.00041846005,0.00024408454,0.0003511049,0.00044804692,0.00058660004,0.00034796575,0.0005117969,0.0002994204,0.0006150635,0.00015006002
moment,389,0.00029205607,0.00025735295,0.00022026237,0.0002801513,0.00046088613,0.00041928721,0.00037988508,0.00021591065,0.00040351506,0.00048816908,0.0005213376,0.00029869794,0.00036981306,0.00030781585,0.00039237764,0.00038496908,0.0004473189,0.00045018006
performed,388,0.00029205607,0.00022058823,0.0005198192,0.00042022692,0.0002611688,0.0002713035,0.00021368536,0.0002944236,0.00034373507,0.00034458993,0.00040430264,0.00031227514,0.00033155654,0.00020074946,0.00044355734,0.00049190497,0.0004286806,0.00065026013
contemporary,387,0.00029205607,0.00029411764,0.00028193585,0.00012840267,0.00019971732,0.0002713035,7.122845E-05,0.0002944236,0.00025406503,0.00043073742,0.0004681399,0.00043446975,0.00045907826,0.00045503213,0.000494737,0.0008982612,0.00054051034,0
course,382,0.00058411213,0.00029411764,0.00027312533,0.000396881,0.0003687089,0.0002713035,0.00042737072,0.0002944236,0.00028395504,0.0004163795,0.0003936631,0.0003937382,0.00043357394,0.00038811564,0.00029001824,0.00027803323,0.00046595716,0.00035014006
death,381,0,0.0005514706,0.0003700408,0.00053695665,0.00021508019,0.0003206314,0.00037988508,0.00054959074,0.00043340508,0.00043073742,0.00032982582,0.00048877846,0.00031880435,0.00017398287,0.00030707815,0.00017109737,0.00024229773,0.00020008003
black,379,0,0.00029411764,0.00045814575,0.0005019377,0.00030725743,0.00034529535,0.00016619972,0.00017665417,0.00038857007,0.00035894784,0.0003511049,0.0002579664,0.00035706087,0.0005353319,0.00027295836,0.00034219475,0.00039140403,0.000100040015
given,377,0.00029205607,0.00047794118,0.00042290377,0.0004669188,0.0002611688,0.00029596745,0.0002849138,0.00017665417,0.00038857007,0.00018665288,0.00036174446,0.00031227514,0.0003953174,0.00030781585,0.00042649743,0.00042774345,0.00046595716,0.00025010004
lim,376,0.00058411213,0.00029411764,0.00029955682,0.00030349722,0.00013826584,0.0006412628,0.00054608483,0.00039256483,0.00035868006,0.0004163795,0.00034046537,0.0003937382,0.00036981306,0.00037473234,0.00027295836,0.00051329215,0.00018638287,0.00035014006
actor,373,0,0.00047794118,0.00026431485,0.00029182425,0.00050697476,0.0002713035,0.0004985992,0.000490706,0.00041846005,0.00033023203,0.00053197716,0.00038016101,0.00021678697,0.00025428267,0.00027295836,0.0002994204,0.00020502115,0.00045018006
song,371,0.0011682243,0.00044117647,0.0003612303,0.00029182425,0.00016899158,0.00034529535,0.000261171,0.00031405187,0.0004632951,0.00025844245,0.00025534903,0.0005430872,0.00036981306,0.00030781585,0.00054591673,0.00042774345,0.00016774458,0.0005502201
choreography,369,0.00029205607,0.00014705882,0.00019383089,0.00014007564,0.0003226203,0.0003699593,7.122845E-05,0.00019628242,0.000104615014,0.00045945324,0.00043622125,0.00028512077,0.00028054783,0.0004282655,0.0007165157,0.000876874,0.00065234,0.00040016006
live,369,0.00058411213,0.00022058823,0.00029955682,0.00026847832,0.00035334603,0.0002713035,0.000261171,0.00021591065,0.00050813006,0.00035894784,0.000372384,0.00043446975,0.00033155654,0.00044164882,0.00029001824,0.00036358193,0.00033548917,0.0005502201
arts,364,0.00058411213,0.00022058823,0.00030836734,0.0002801513,0.00027653167,0.0002713035,0.00016619972,0.00021591065,0.00031384506,0.00047381117,0.00029790722,0.00055666437,0.00038256522,0.00030781585,0.000494737,0.00027803323,0.0005591486,0.000100040015
direction,363,0,0.0005514706,0.0003259883,0.00053695665,0.00043016038,0.0002713035,0.00047485635,0.00035330834,0.00034373507,0.00034458993,0.00040430264,0.0002579664,0.00020403479,0.00016059958,0.00020471877,0.00038496908,0.00035412743,0.00035014006
home,363,0.00029205607,0.00022058823,0.00023788336,0.00029182425,0.00039943465,0.0002713035,0.0002849138,0.0003336801,0.00043340508,0.0002010108,0.00026598858,0.00050235563,0.00054834347,0.00041488223,0.00029001824,0.00021387172,0.00039140403,0.0005502201
far,361,0,0.00029411764,0.00028193585,0.00040855395,0.0002611688,0.00019731163,0.00035614226,0.0003336801,0.00037362505,0.00017229497,0.00036174446,0.00043446975,0.00031880435,0.00034796575,0.00044355734,0.00034219475,0.0004100423,0.0005502201
group,359,0.00058411213,0.00033088235,0.00033479882,0.0002801513,0.00035334603,0.0003699593,0.00018994254,9.814121E-05,0.00031384506,0.00047381117,0.00029790722,0.0002715436,0.00036981306,0.00036134903,0.0005970964,0.00051329215,0.00022365944,0.00030012004
energy,357,0.00058411213,0.00036764707,0.0003524198,0.00036186207,0.00035334603,0.00039462326,0.0002849138,0.00027479537,0.00038857007,0.0004163795,0.00031918628,0.0002715436,0.00026779567,0.00029443254,0.00032413806,0.00042774345,0.00031685087,0.00025010004
simple,355,0.00029205607,0.00029411764,0.00033479882,0.00033851614,0.00030725743,0.00019731163,0.0004036279,0.00037293657,0.00041846005,0.00035894784,0.00031918628,0.0003258523,0.00029330002,0.00029443254,0.00047767712,0.00027803323,0.0002982126,0.00030012004
able,352,0,0.00014705882,0.0003612303,0.00026847832,0.00043016038,0.0003699593,0.00061731326,0.0003336801,0.00041846005,0.0004163795,0.0003511049,0.0005159328,0.00029330002,0.00018736617,0.00018765886,0.00019248454,0.00016774458,0.00020008003
interesting,352,0.00029205607,0.00025735295,0.0003524198,0.00037353503,0.00027653167,0.000542607,0.00045111353,0.00051033427,0.00026901005,0.00024408454,0.00027662812,0.00035300668,0.00029330002,0.00041488223,0.00029001824,0.00034219475,0.00018638287,0.00015006002
comic,351,0.00029205607,0.00018382353,0.00030836734,0.00037353503,0.00035334603,0.00017264768,0.00030865663,0.0002355389,0.00022417503,0.00045945324,0.00045750034,0.00033942948,0.00026779567,0.00033458244,0.0005288568,0.00025664608,0.0001491063,0.0005502201
issues,351,0.00029205607,0.00036764707,0.00050219824,0.0003501891,0.00039943465,0.00041928721,0.000522342,0.00015702593,0.00020923003,0.00027280036,0.00012767452,0.0002579664,0.0003953174,0.00026766595,0.00034119794,0.00025664608,0.00050323375,0.00030012004
dramatic,348,0,0.0005514706,0.00045814575,0.00036186207,0.0004147975,0.00024663954,0.00037988508,0.00011776945,0.00049318507,0.00035894784,0.0004149422,0.00024438923,0.00017853043,0.00024089936,0.00025589846,0.0001497102,0.00033548917,0.00020008003
dialogue,347,0,0.00022058823,0.00026431485,0.00029182425,0.00043016038,0.00041928721,0.00059357047,0.0003336801,0.00037362505,0.00044509533,0.00036174446,0.00020365769,0.00045907826,0.00018736617,0.00022177867,0.0001497102,0.00031685087,0.00035014006
hand,345,0.00058411213,0.0005514706,0.00046695623,0.00025680533,0.0003226203,0.00012331977,0.00030865663,0.00051033427,0.00025406503,0.00027280036,0.00023406994,0.00029869794,0.00029330002,0.00041488223,0.00046061722,0.0002994204,0.00022365944,5.0020008E-05
look,344,0,0.00044117647,0.0003964723,0.00033851614,0.00038407178,0.00034529535,0.00030865663,0.00019628242,0.00034373507,0.00025844245,0.00040430264,0.00031227514,0.00031880435,0.00022751607,0.00020471877,0.0003208076,0.00039140403,0.00020008003
day,343,0.00029205607,0.00029411764,0.0003524198,0.00030349722,0.00043016038,0.0002713035,0.00035614226,0.00027479537,0.00025406503,0.00031587412,0.00021279085,0.00029869794,0.00030605218,0.000495182,0.00034119794,0.00034219475,0.00037276573,0.000100040015
short,341,0,0.00040441175,0.00029955682,0.00033851614,0.00024580595,0.0002713035,0.0004036279,0.00025516714,0.00026901005,0.00018665288,0.00029790722,0.00043446975,0.00045907826,0.00037473234,0.00027295836,0.00051329215,0.00022365944,0.00015006002
trying,340,0,0.00025735295,0.00037885128,0.00032684318,0.00018435445,0.00041928721,0.000261171,0.00039256483,0.00019428504,0.00037330575,0.000372384,0.0003937382,0.00020403479,0.00021413276,0.00037531773,0.0003208076,0.00039140403,0.00045018006
funny,339,0.0008761682,0.00022058823,0.0005374402,0.00030349722,0.00035334603,0.00029596745,0.00061731326,0.00039256483,0.00031384506,0.0002010108,0.00028726767,0.00031227514,0.00036981306,0.00010706638,0.00029001824,0.0001497102,0.0001491063,0.00040016006
lost,339,0,0.00014705882,0.0003524198,0.00037353503,0.00027653167,0.0002713035,0.00035614226,0.00039256483,0.0004632951,0.00035894784,0.00038302355,0.00017650334,0.00029330002,0.00022751607,0.00042649743,0.0002994204,0.00022365944,0.00015006002
various,339,0.0011682243,0.0005147059,0.0006872186,0.00040855395,0.0003226203,0.00014798372,0.00042737072,0.00017665417,8.9670015E-05,0.00034458993,0.00017023268,0.00020365769,0.00028054783,0.00028104926,0.00032413806,0.00034219475,0.0001491063,0.00035014006
play's,338,0,0.00029411764,0.00012334694,0.0001984405,0.00019971732,0.0003699593,0.0004036279,0.00019628242,0.00041846005,0.00035894784,0.0005000585,0.00042089255,0.00062485656,0.00044164882,0.00015353908,0.00027803323,0.000130468,0.000100040015
help,337,0.00029205607,0.00073529413,0.0003259883,0.0002334594,0.0004147975,0.00019731163,0.00023742818,0.00031405187,0.00028395504,0.00025844245,0.00030854673,0.00023081205,0.00028054783,0.00034796575,0.00044355734,0.0002994204,0.00039140403,0.00030012004
mind,337,0.00058411213,0.00047794118,0.0003964723,0.00031517018,0.0003226203,0.00039462326,0.00023742818,0.00017665417,0.00032879005,0.00022972662,0.00026598858,0.0003258523,0.00031880435,0.0004282655,0.00022177867,0.00036358193,0.00031685087,0.00015006002
making,336,0,0.0005147059,0.0003524198,0.00045524584,0.00019971732,0.0003206314,0.000261171,0.00031405187,0.00031384506,0.00024408454,0.00029790722,0.00021723488,0.00025504347,0.00044164882,0.00023883856,0.00021387172,0.0004473189,0.00035014006
couple,335,0,0.00018382353,0.00029955682,0.00021011346,0.0003226203,0.00029596745,0.000522342,0.00037293657,0.00016439502,0.00033023203,0.000372384,0.00038016101,0.00026779567,0.00032119916,0.00034119794,0.00034219475,0.00039140403,0.00025010004
heart,335,0.0008761682,0.00033088235,0.00023788336,0.00037353503,0.00039943465,0.00041928721,0.0004036279,0.00019628242,0.00022417503,0.0003876637,0.00020215132,0.00021723488,0.00033155654,0.00032119916,0.00046061722,0.00036358193,0.00037276573,0.00015006002
watching,335,0.00029205607,0.00044117647,0.00031717782,0.00033851614,0.00029189454,0.00041928721,0.00037988508,0.0002355389,0.00040351506,0.00035894784,0.00036174446,0.00024438923,0.00026779567,0.00022751607,0.00025589846,0.0003208076,0.00022365944,0.00045018006
ensemble,334,0,0.00025735295,0.00014977841,0.00018676752,0.00029189454,0.0002713035,0.00023742818,0.00031405187,0.00020923003,0.0003015162,0.00057453534,0.00042089255,0.00031880435,0.00032119916,0.00020471877,0.0002994204,0.00050323375,0.0008003201
language,334,0.00029205607,0.00011029412,0.00027312533,0.0002334594,0.00021508019,0.00029596745,0.00016619972,0.00019628242,0.0005380201,0.00025844245,0.0007234889,0.00021723488,0.00035706087,0.00029443254,0.00040943755,8.554869E-05,0.00018638287,0.0005002001
programme,334,0,0.00014705882,0.00043171426,0.00031517018,0.00027653167,0.00046861512,0.0006647989,0.0003336801,0.00038857007,0.00027280036,0.00032982582,0.00043446975,0.00016577827,0.00012044968,0.00027295836,0.00019248454,0.00024229773,0.00020008003
small,334,0.0011682243,7.352941E-05,0.00033479882,0.0001984405,0.00030725743,0.00019731163,0.00016619972,0.0002355389,0.00028395504,0.0003015162,0.0004468608,0.0002579664,0.00048458262,0.00030781585,0.00039237764,0.0004491306,0.0002795743,0.00025010004
case,333,0.00029205607,0.0006985294,0.00041409326,0.00045524584,0.0002611688,0.0003206314,0.000261171,0.00041219307,0.00020923003,0.00025844245,0.00031918628,0.0002715436,0.00038256522,0.00025428267,0.00010235939,0.00027803323,0.0001491063,0.00035014006
need,333,0,0.00025735295,0.0003700408,0.00045524584,0.00029189454,0.0003699593,0.00023742818,0.00025516714,0.00023912004,0.00021536871,0.0002447095,0.00036658384,0.00040806958,0.00028104926,0.00027295836,0.00040635627,0.00018638287,0.00045018006
behind,332,0.00058411213,0.00018382353,0.0003612303,0.0002801513,0.00033798316,0.00022197558,0.00023742818,0.00017665417,0.00035868006,0.00037330575,0.00040430264,0.00036658384,0.00026779567,0.00028104926,0.00035825785,0.0002994204,0.0002982126,0.000100040015
songs,331,0.00029205607,0.00033088235,0.0003700408,0.00038520803,0.00030725743,0.00014798372,0.00030865663,0.0003336801,0.00031384506,0.0002010108,0.00025534903,0.00036658384,0.00021678697,0.00029443254,0.00044355734,0.00040635627,0.000260936,0.00030012004
series,329,0,0.00022058823,0.00027312533,0.00030349722,0.00019971732,0.00039462326,0.00021368536,0.00013739768,0.00014945002,0.00025844245,0.00030854673,0.00038016101,0.00017853043,0.00040149892,0.0006312162,0.00049190497,0.000521872,0.00020008003
power,325,0,0.00036764707,0.00033479882,0.00025680533,0.00021508019,2.4663954E-05,0.00045111353,0.00021591065,0.00040351506,0.00043073742,0.00032982582,0.00024438923,0.00047183046,0.00038811564,0.00022177867,0.00017109737,0.00018638287,0.00035014006
face,324,0,0.00018382353,0.0003964723,0.0002334594,0.0003226203,0.0003206314,0.0004036279,0.00027479537,0.00040351506,0.00025844245,0.00027662812,0.00043446975,0.00017853043,0.00033458244,0.00018765886,0.00040635627,0.00020502115,0.00030012004
playwright,324,0,0.00047794118,0.0001762099,0.0002334594,0.0002611688,0.00029596745,0.000522342,0.0002355389,0.00032879005,0.00035894784,0.0004255817,0.0003937382,0.00030605218,0.00029443254,0.00022177867,0.00017109737,0.00037276573,0.00025010004
truly,324,0,0.0005147059,0.00025550436,0.00012840267,0.00030725743,0.0003206314,0.00023742818,0.00021591065,0.00035868006,0.0003876637,0.00045750034,0.00029869794,0.00026779567,0.00020074946,0.00023883856,0.0002994204,0.00048459545,0.0005002001
english,323,0,0.00047794118,0.00027312533,0.00025680533,0.0003687089,0.00029596745,9.497127E-05,0.00039256483,0.00047824008,0.00028715827,0.0004681399,0.0002579664,0.00038256522,0.00021413276,0.00023883856,6.416152E-05,0.0002982126,0.00015006002
lighting,323,0.0008761682,0.00033088235,0.00019383089,0.00040855395,0.0004147975,0.00034529535,0.00021368536,0.0003336801,0.00019428504,0.00018665288,0.0003511049,0.0002715436,0.00028054783,0.00029443254,0.00029001824,0.00049190497,0.00039140403,0.00015006002
relationship,322,0,0.00036764707,0.00025550436,0.00029182425,0.00021508019,0.00039462326,0.00042737072,0.00027479537,0.00017934003,0.00028715827,0.00019151178,0.00021723488,0.00025504347,0.00030781585,0.00042649743,0.00047051779,0.0006150635,0.00035014006
wife,318,0,0.00029411764,0.0001762099,0.00032684318,0.00061451487,0.0003206314,0.00037988508,0.00051033427,0.00032879005,0.00017229497,0.00040430264,0.0002715436,0.00025504347,0.00025428267,0.00010235939,0.00027803323,0.00020502115,0.00030012004
thought,316,0.00029205607,0.00029411764,0.00033479882,0.00045524584,0.00035334603,0.0002713035,0.00033239945,0.00025516714,0.00019428504,0.0003015162,0.00032982582,0.00036658384,0.00020403479,0.00025428267,0.00022177867,0.00012832304,0.00035412743,0.00020008003
evening,314,0.0008761682,0.00036764707,0.00046695623,0.0003501891,0.0002611688,9.8655815E-05,0.00033239945,0.0002355389,0.00028395504,0.00028715827,0.0002447095,0.00019008051,0.00021678697,0.00034796575,0.00025589846,0.00025664608,0.00037276573,0.00025010004
movements,313,0.00058411213,0.00029411764,0.00026431485,0.00033851614,0.0003687089,0.000517943,0.0002849138,0.00017665417,0.00025406503,0.00017229497,0.0003936631,0.00024438923,0.00029330002,0.00025428267,0.00032413806,0.0002994204,0.00031685087,0.000100040015
traditional,307,0,0.00014705882,0.00031717782,0.00029182425,0.00015362872,0.00039462326,0.0001424569,0.0002355389,0.00029890003,0.0004020216,0.00029790722,0.00019008051,0.00031880435,0.00033458244,0.00025589846,0.00051329215,0.00031685087,0.000100040015
clear,306,0,0.00025735295,0.00021145189,0.00031517018,0.00018435445,0.00034529535,0.000261171,0.00039256483,0.00028395504,0.00034458993,0.00034046537,0.00024438923,0.00035706087,0.00030781585,0.00018765886,0.0002994204,0.0002795743,0.00035014006
modern,306,0.00029205607,0.0005514706,0.00037885128,0.00032684318,0.00033798316,0.0005672709,0.00018994254,0.0004710778,0.00026901005,0.00034458993,0.00018087223,0.00019008051,0.000114769566,0.00025428267,0.00018765886,0.00021387172,0.00024229773,0.00035014006
girl,305,0,0.00033088235,0.0003259883,0.000396881,0.00023044307,0.000517943,0.00030865663,0.00039256483,0.00017934003,0.00031587412,0.00012767452,0.00029869794,0.00021678697,0.00026766595,0.00027295836,0.00027803323,0.00031685087,0.00025010004
clearly,304,0,0.00011029412,0.00016739941,0.00026847832,0.0003226203,0.0002713035,0.0004985992,0.0004318213,0.00029890003,0.00027280036,0.00027662812,0.00031227514,0.0003953174,0.00040149892,0.00022177867,8.554869E-05,0.0002795743,0.00015006002
